,total_cost,synergy_score,resistance_score,coverage,combo_tox_score,hub_penalty,druggable_count,perturbation_bonus
total_cost,1.0,0.19272781703905226,-0.34796715315381566,-0.16071282304721693,-0.20792958481977433,-0.09654498885861683,-0.47647994366061003,-0.01585632041320317
synergy_score,0.19272781703905226,1.0,0.13330178271245105,-0.06855800565922344,-0.046164516372025025,-0.015835918817243808,-0.23216468992324882,-0.03202674241368235
resistance_score,-0.34796715315381566,0.13330178271245105,1.0,0.33117646408667184,0.2116097189680919,0.37205879429020844,0.29667778368088554,-0.06046897473672598
coverage,-0.16071282304721693,-0.06855800565922344,0.33117646408667184,1.0,-0.030294493871638465,0.8349655270475985,0.15985047070803668,-0.033619247416406074
combo_tox_score,-0.20792958481977433,-0.046164516372025025,0.2116097189680919,-0.030294493871638465,1.0,-0.03612312925927684,0.3707118156780333,-0.015891105995217984
hub_penalty,-0.09654498885861683,-0.015835918817243808,0.37205879429020844,0.8349655270475985,-0.03612312925927684,1.0,0.09467722551750293,-0.0724680878920353
druggable_count,-0.47647994366061003,-0.23216468992324882,0.29667778368088554,0.15985047070803668,0.3707118156780333,0.09467722551750293,1.0,0.02482080852489916
perturbation_bonus,-0.01585632041320317,-0.03202674241368235,-0.06046897473672598,-0.033619247416406074,-0.015891105995217984,-0.0724680878920353,0.02482080852489916,1.0
