feature,mean_abs_shap
druggable_count,0.27438535152600285
hub_penalty,0.18837368782579628
resistance_score,0.12202701030991817
coverage,0.10856840662877151
combo_tox_score,0.09110987445549608
synergy_score,0.07092821282362456
total_cost,0.012410390426257703
perturbation_bonus,0.005749157763443639
