,total_cost,synergy_score,resistance_score,coverage,combo_tox_score,hub_penalty,druggable_count,perturbation_bonus
total_cost,1.0,0.18925263509268744,-0.25260431546777795,-0.2007332525349934,-0.33969430871400047,-0.18857301494684559,-0.44024330967192016,-0.009692165567868144
synergy_score,0.18925263509268744,1.0,0.31250704595124806,-0.07022582928766871,-0.12576351613513295,-0.027897634109953506,-0.24132107630673766,-0.030406340827089946
resistance_score,-0.25260431546777795,0.31250704595124806,1.0,0.2295142054115202,0.1969591528011722,0.296867951401442,0.1418259906506323,-0.04149376592119349
coverage,-0.2007332525349934,-0.07022582928766871,0.2295142054115202,1.0,0.10967911646370519,0.8679190041840449,0.16035340056193517,-0.04127394785277939
combo_tox_score,-0.33969430871400047,-0.12576351613513295,0.1969591528011722,0.10967911646370519,1.0,0.10928482127987767,0.4823209459212416,-0.018593694166826016
hub_penalty,-0.18857301494684559,-0.027897634109953506,0.296867951401442,0.8679190041840449,0.10928482127987767,1.0,0.10229191566800871,-0.07223100598150586
druggable_count,-0.44024330967192016,-0.24132107630673766,0.1418259906506323,0.16035340056193517,0.4823209459212416,0.10229191566800871,1.0,0.030851748154793593
perturbation_bonus,-0.009692165567868144,-0.030406340827089946,-0.04149376592119349,-0.04127394785277939,-0.018593694166826016,-0.07223100598150586,0.030851748154793593,1.0
