Target_Gene,Appearances_in_Triples,Avg_Synergy_Score,Clinical_Stage,Available_Drugs,Cancer_Types
HNRNPH1,1,0.94,unknown,,Osteosarcoma
LCK,1,0.94,unknown,,T-Lymphoblastic Leukemia/Lymphoma
NKX2-3,1,0.94,unknown,,T-Lymphoblastic Leukemia/Lymphoma
MMGT1,1,0.94,unknown,,Rhabdomyosarcoma
SOS1,1,0.94,unknown,,Myeloproliferative Neoplasms
RPL15,1,0.94,unknown,,Mature T and NK Neoplasms
RPL21,1,0.94,unknown,,Mature T and NK Neoplasms
NFKB1,1,0.81,unknown,,Non-Hodgkin Lymphoma
DCLRE1B,1,0.94,unknown,,Rhabdoid Cancer
UBE2D3,1,0.94,unknown,,Rhabdoid Cancer
SEPHS2,1,0.94,unknown,,Anaplastic Thyroid Cancer
PARP1,1,0.94,approved,olaparib; rucaparib; niraparib,Non-Seminomatous Germ Cell Tumor
SPECC1L,1,0.94,unknown,,Synovial Sarcoma
BCAR1,1,0.94,unknown,,Chondrosarcoma
CCNE2,1,0.94,unknown,,Chondrosarcoma
CFL1,1,0.94,unknown,,Hodgkin Lymphoma
JAK1,1,0.94,approved,ruxolitinib; tofacitinib; baricitinib,Hodgkin Lymphoma
SOCS3,1,0.94,unknown,,Well-Differentiated Thyroid Cancer
RAF1,1,0.94,unknown,,Intracholecystic Papillary Neoplasm
TGIF1,1,0.94,unknown,,Cervical Adenocarcinoma
SNAI2,1,0.94,unknown,,Cutaneous Squamous Cell Carcinoma
NPIPB11,1,0.94,unknown,,Prostate Adenocarcinoma
TFCP2L1,1,0.94,unknown,,Uterine Sarcoma/Mesenchymal
RPS6KB1,1,0.94,unknown,,Extra Gonadal Germ Cell Tumor
ERBB3,1,0.94,preclinical,,Clear Cell Sarcoma
FOXM1,1,0.94,unknown,,Retinoblastoma
IRS2,1,0.94,unknown,,Retinoblastoma
MAP2K2,1,0.94,approved,trametinib; cobimetinib; binimetinib,Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma
DUSP6,1,0.94,unknown,,Ovarian Germ Cell Tumor
