Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Neuroblastoma,Peripheral Nervous System,51,3,2,GATA3,unknown,,,CCND1 + GATA3 + LDB1,82.4%,2.42
Neuroblastoma,Peripheral Nervous System,51,3,3,LDB1,unknown,,,CCND1 + GATA3 + LDB1,82.4%,2.42
Ewing Sarcoma,Bone,51,3,1,CCND1,unknown,,,CCND1 + EEFSEC + FLI1,85.4%,3.53
Ewing Sarcoma,Bone,51,3,2,EEFSEC,unknown,,,CCND1 + EEFSEC + FLI1,85.4%,3.53
Ewing Sarcoma,Bone,51,3,3,FLI1,unknown,,,CCND1 + EEFSEC + FLI1,85.4%,3.53
Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,37,3,1,GRB2,unknown,,,GRB2 + SLC2A1 + STAT3,87.0%,2.67
Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,37,3,2,SLC2A1,unknown,,,GRB2 + SLC2A1 + STAT3,87.0%,2.67
Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,37,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,GRB2 + SLC2A1 + STAT3,87.0%,2.67
Endometrial Carcinoma,Uterus,37,3,1,MAPK3,unknown,,,MAPK3 + PAX8 + STAT3,88.6%,2.80
Endometrial Carcinoma,Uterus,37,3,2,PAX8,unknown,,,MAPK3 + PAX8 + STAT3,88.6%,2.80
Endometrial Carcinoma,Uterus,37,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,MAPK3 + PAX8 + STAT3,88.6%,2.80
Pleural Mesothelioma,Pleura,36,3,1,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,EGFR + ELMO2 + MAP2K1,91.1%,2.79
Pleural Mesothelioma,Pleura,36,3,2,ELMO2,unknown,,,EGFR + ELMO2 + MAP2K1,91.1%,2.79
Pleural Mesothelioma,Pleura,36,3,3,MAP2K1,approved,trametinib; cobimetinib; binimetinib,rash; retinopathy,EGFR + ELMO2 + MAP2K1,91.1%,2.79
Bladder Urothelial Carcinoma,Bladder/Urinary Tract,35,3,1,CCND1,unknown,,,CCND1 + FYN + YAP1,85.0%,2.80
Bladder Urothelial Carcinoma,Bladder/Urinary Tract,35,3,2,FYN,approved,dasatinib; saracatinib,myelosuppression,CCND1 + FYN + YAP1,85.0%,2.80
Bladder Urothelial Carcinoma,Bladder/Urinary Tract,35,3,3,YAP1,unknown,,,CCND1 + FYN + YAP1,85.0%,2.80
B-Cell Acute Lymphoblastic Leukemia,Lymphoid,32,3,1,CCND3,unknown,,,CCND3 + GCLC + STAT3,80.0%,3.80
B-Cell Acute Lymphoblastic Leukemia,Lymphoid,32,3,2,GCLC,unknown,,,CCND3 + GCLC + STAT3,80.0%,3.80
B-Cell Acute Lymphoblastic Leukemia,Lymphoid,32,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,CCND3 + GCLC + STAT3,80.0%,3.80
Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,30,3,1,ADAR,unknown,,,ADAR + STAT3 + STX4,90.4%,2.55
Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,30,3,2,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,ADAR + STAT3 + STX4,90.4%,2.55
Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,30,3,3,STX4,unknown,,,ADAR + STAT3 + STX4,90.4%,2.55
Osteosarcoma,Bone,29,3,1,CCND1,unknown,,,CCND1 + FXN + HNRNPH1,80.9%,4.16
