Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Epithelioid Sarcoma,Soft Tissue,2,3,1,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,ERBB2 + MAP2K1 + MET,83.3%,1.50
Epithelioid Sarcoma,Soft Tissue,2,3,2,MAP2K1,approved,trametinib; cobimetinib; binimetinib,rash; retinopathy,ERBB2 + MAP2K1 + MET,83.3%,1.50
Epithelioid Sarcoma,Soft Tissue,2,3,3,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,ERBB2 + MAP2K1 + MET,83.3%,1.50
Salivary Carcinoma,Head and Neck,2,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + MCL1,84.0%,2.32
Salivary Carcinoma,Head and Neck,2,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + MCL1,84.0%,2.32
Salivary Carcinoma,Head and Neck,2,3,3,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CDK4 + CDK6 + MCL1,84.0%,2.32
Extra Gonadal Germ Cell Tumor,Other,2,3,1,CCNE1,unknown,,,CCNE1 + MCL1 + RPS6KB1,81.5%,2.48
Extra Gonadal Germ Cell Tumor,Other,2,3,2,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CCNE1 + MCL1 + RPS6KB1,81.5%,2.48
Extra Gonadal Germ Cell Tumor,Other,2,3,3,RPS6KB1,unknown,,,CCNE1 + MCL1 + RPS6KB1,81.5%,2.48
Adenosquamous Carcinoma of the Pancreas,Pancreas,2,3,1,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK6 + ERBB2 + PTK2,86.0%,1.00
Adenosquamous Carcinoma of the Pancreas,Pancreas,2,3,2,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,CDK6 + ERBB2 + PTK2,86.0%,1.00
Adenosquamous Carcinoma of the Pancreas,Pancreas,2,3,3,PTK2,unknown,,,CDK6 + ERBB2 + PTK2,86.0%,1.00
Clear Cell Sarcoma,Soft Tissue,2,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + ERBB3 + GRB2,84.2%,1.00
Clear Cell Sarcoma,Soft Tissue,2,3,2,ERBB3,preclinical,,,CDK4 + ERBB3 + GRB2,84.2%,1.00
Clear Cell Sarcoma,Soft Tissue,2,3,3,GRB2,unknown,,,CDK4 + ERBB3 + GRB2,84.2%,1.00
Adrenocortical Carcinoma,Adrenal Gland,2,3,1,CCNE1,unknown,,,CCNE1 + CDK6 + MCL1,80.6%,1.50
Adrenocortical Carcinoma,Adrenal Gland,2,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CCNE1 + CDK6 + MCL1,80.6%,1.50
Adrenocortical Carcinoma,Adrenal Gland,2,3,3,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CCNE1 + CDK6 + MCL1,80.6%,1.50
Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,2,3,1,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK6 + ERBB2 + PXN,86.4%,1.50
Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,2,3,2,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,CDK6 + ERBB2 + PXN,86.4%,1.50
Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,2,3,3,PXN,unknown,,,CDK6 + ERBB2 + PXN,86.4%,1.50
Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,2,3,1,E2F3,unknown,,,E2F3 + ERBB2 + PXN,81.6%,1.20
Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,2,3,2,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,E2F3 + ERBB2 + PXN,81.6%,1.20
Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,2,3,3,PXN,unknown,,,E2F3 + ERBB2 + PXN,81.6%,1.20
Urethral Cancer,Bladder/Urinary Tract,2,3,1,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,ERBB2 + MAP2K1 + MET,82.9%,2.71
Urethral Cancer,Bladder/Urinary Tract,2,3,2,MAP2K1,approved,trametinib; cobimetinib; binimetinib,rash; retinopathy,ERBB2 + MAP2K1 + MET,82.9%,2.71
Urethral Cancer,Bladder/Urinary Tract,2,3,3,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,ERBB2 + MAP2K1 + MET,82.9%,2.71
Retinoblastoma,Eye,2,3,1,FOXM1,unknown,,,FOXM1 + IRS2 + STAT5A,91.7%,3.90
Retinoblastoma,Eye,2,3,2,IRS2,unknown,,,FOXM1 + IRS2 + STAT5A,91.7%,3.90
Retinoblastoma,Eye,2,3,3,STAT5A,unknown,,,FOXM1 + IRS2 + STAT5A,91.7%,3.90
Poorly Differentiated Thyroid Cancer,Thyroid,1,3,1,BCL2L1,phase2,navitoclax,thrombocytopenia,BCL2L1 + BRAF + MET,83.8%,1.43
Poorly Differentiated Thyroid Cancer,Thyroid,1,3,2,BRAF,approved,vemurafenib; dabrafenib; encorafenib,rash; photosensitivity,BCL2L1 + BRAF + MET,83.8%,1.43
Poorly Differentiated Thyroid Cancer,Thyroid,1,3,3,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,BCL2L1 + BRAF + MET,83.8%,1.43
Mixed Cervical Carcinoma,Cervix,1,3,1,GRB2,unknown,,,GRB2 + MEK1 + SREBF1,100.0%,1.20
Mixed Cervical Carcinoma,Cervix,1,3,2,MEK1,unknown,,,GRB2 + MEK1 + SREBF1,100.0%,1.20
Mixed Cervical Carcinoma,Cervix,1,3,3,SREBF1,unknown,,,GRB2 + MEK1 + SREBF1,100.0%,1.20
Glassy Cell Carcinoma of the Cervix,Cervix,1,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + MAP2K1 + MCL1,81.8%,2.42
Glassy Cell Carcinoma of the Cervix,Cervix,1,3,2,MAP2K1,approved,trametinib; cobimetinib; binimetinib,rash; retinopathy,CDK4 + MAP2K1 + MCL1,81.8%,2.42
Glassy Cell Carcinoma of the Cervix,Cervix,1,3,3,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CDK4 + MAP2K1 + MCL1,81.8%,2.42
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Liver,1,3,1,GAB2,unknown,,,GAB2 + MAP2K2 + STAT3,100.0%,1.50
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Liver,1,3,2,MAP2K2,approved,trametinib; cobimetinib; binimetinib,rash,GAB2 + MAP2K2 + STAT3,100.0%,1.50
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Liver,1,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,GAB2 + MAP2K2 + STAT3,100.0%,1.50
"Sarcoma, NOS",Soft Tissue,1,3,1,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK6 + ERBB2 + MET,81.6%,1.30
"Sarcoma, NOS",Soft Tissue,1,3,2,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,CDK6 + ERBB2 + MET,81.6%,1.30
"Sarcoma, NOS",Soft Tissue,1,3,3,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,CDK6 + ERBB2 + MET,81.6%,1.30
Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,1,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + DUSP6 + PTK2,86.0%,2.71
Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,1,3,2,DUSP6,unknown,,,CDK4 + DUSP6 + PTK2,86.0%,2.71
Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,1,3,3,PTK2,unknown,,,CDK4 + DUSP6 + PTK2,86.0%,2.71
Giant Cell Tumor of Bone,Bone,1,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + PTK2,86.0%,1.50
Giant Cell Tumor of Bone,Bone,1,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + PTK2,86.0%,1.50
Giant Cell Tumor of Bone,Bone,1,3,3,PTK2,unknown,,,CDK4 + CDK6 + PTK2,86.0%,1.50
