Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered
Lung Neuroendocrine Tumor,Lung,85,E2F1 + SKP2 + STAT3,E2F1,SKP2,STAT3,1.513,0.94,0.35,51.3%,1,N/A,N/A,napabucasin,2
Invasive Breast Carcinoma,Breast,82,FOXA1 + PPP1R15B + STAT3,FOXA1,PPP1R15B,STAT3,1.583,0.94,0.35,50.0%,1,N/A,N/A,napabucasin,1
Acute Myeloid Leukemia,Myeloid,64,CBFB + SPI1 + STAT3,CBFB,SPI1,STAT3,1.416,0.94,0.35,51.7%,1,N/A,N/A,napabucasin,1
Renal Cell Carcinoma,Kidney,56,CFLAR + HNF1B + STAT3,CFLAR,HNF1B,STAT3,1.557,0.94,0.35,53.8%,1,N/A,N/A,napabucasin,1
Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,37,GRB2 + SLC2A1 + STAT3,GRB2,SLC2A1,STAT3,1.731,0.94,0.35,55.6%,1,N/A,N/A,napabucasin,1
Endometrial Carcinoma,Uterus,37,MAPK3 + PAX8 + STAT3,MAPK3,PAX8,STAT3,1.617,0.94,0.35,50.0%,1,N/A,N/A,napabucasin,2
B-Cell Acute Lymphoblastic Leukemia,Lymphoid,32,CCND3 + GCLC + STAT3,CCND3,GCLC,STAT3,1.413,0.94,0.35,51.7%,1,N/A,N/A,napabucasin,1
Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,30,ADAR + STAT3 + STX4,ADAR,STAT3,STX4,1.655,0.94,0.35,53.1%,1,N/A,napabucasin,N/A,1
Myeloproliferative Neoplasms,Myeloid,18,GAB2 + SOS1 + STAT3,GAB2,SOS1,STAT3,1.586,0.94,0.35,50.0%,1,N/A,N/A,napabucasin,1
Mature T and NK Neoplasms,Lymphoid,17,RPL15 + RPL21 + STAT3,RPL15,RPL21,STAT3,1.719,0.94,0.35,68.1%,1,N/A,N/A,napabucasin,1
Anaplastic Thyroid Cancer,Thyroid,13,SEPHS2 + STAT3 + YAP1,SEPHS2,STAT3,YAP1,1.728,0.94,0.35,53.2%,1,N/A,napabucasin,N/A,2
Leiomyosarcoma,Soft Tissue,11,EGFR + KRAS + PTK2,EGFR,KRAS,PTK2,1.747,0.94,0.35,50.0%,2,erlotinib,sotorasib,N/A,2
Synovial Sarcoma,Soft Tissue,10,SPECC1L + STAT3 + YAP1,SPECC1L,STAT3,YAP1,1.726,0.94,0.35,52.9%,1,N/A,napabucasin,N/A,2
Intracholecystic Papillary Neoplasm,Biliary Tract,7,RAF1 + SREBF1 + STAT3,RAF1,SREBF1,STAT3,1.581,0.94,0.35,50.0%,1,N/A,N/A,napabucasin,2
Cutaneous Squamous Cell Carcinoma,Skin,6,PXN + SNAI2 + STAT3,PXN,SNAI2,STAT3,1.575,0.94,0.35,51.0%,1,N/A,N/A,napabucasin,1
Ampullary Carcinoma,Ampulla of Vater,5,CTNNB1 + SLC2A1 + STAT3,CTNNB1,SLC2A1,STAT3,1.612,0.94,0.35,50.0%,1,N/A,N/A,napabucasin,2
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Liver,1,GAB2 + MAP2K2 + STAT3,GAB2,MAP2K2,STAT3,1.638,0.94,0.35,56.0%,2,N/A,trametinib,napabucasin,2
Mucosal Melanoma of the Vulva/Vagina,Vulva/Vagina,3,BRAF + CDK6 + ERBB2,BRAF,CDK6,ERBB2,1.261,0.94,0.39,50.0%,3,vemurafenib,palbociclib,trastuzumab,3
Clear Cell Sarcoma,Soft Tissue,2,CDK4 + ERBB3 + GRB2,CDK4,ERBB3,GRB2,1.418,0.94,0.39,52.6%,1,palbociclib,N/A,N/A,2
Poorly Differentiated Thyroid Cancer,Thyroid,1,BCL2L1 + BRAF + MET,BCL2L1,BRAF,MET,1.314,0.94,0.39,51.4%,3,navitoclax,vemurafenib,capmatinib,3
Glassy Cell Carcinoma of the Cervix,Cervix,1,CDK4 + MAP2K1 + MCL1,CDK4,MAP2K1,MCL1,1.636,0.94,0.39,50.0%,2,palbociclib,trametinib,AMG-176,3
