Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered,Synergy,Resistance,Coverage,Druggable
Glassy Cell Carcinoma of the Cervix,Cervix,1,CDK4 + EGFR + STAT3,CDK4,EGFR,STAT3,0.497,0.92,0.47,88.6%,3.0,palbociclib,erlotinib,napabucasin,3.0,,,,
Poorly Differentiated Thyroid Cancer,Thyroid,1,BRAF + MAP2K1 + STAT3,BRAF,MAP2K1,STAT3,0.42,0.76,0.35,78.4%,3.0,vemurafenib,trametinib,napabucasin,2.0,,,,
Cervical Adenocarcinoma,Cervix,7,FYN + STAT3 + YES1,FYN,STAT3,YES1,0.546,0.74,0.15,68.3%,3.0,dasatinib,napabucasin,dasatinib,2.0,,,,
Cutaneous Squamous Cell Carcinoma,Skin,6,CDK6 + EGFR + MET,CDK6,EGFR,MET,0.527,0.74,0.32,72.3%,3.0,palbociclib,erlotinib,capmatinib,2.0,,,,
"Head and Neck Carcinoma, Other",Head and Neck,3,CDK6 + EGFR + MET,CDK6,EGFR,MET,0.581,0.74,0.32,62.5%,3.0,palbociclib,erlotinib,capmatinib,2.0,,,,
Salivary Carcinoma,Head and Neck,2,CDK6 + EGFR + MET,CDK6,EGFR,MET,0.44,0.74,0.32,84.0%,3.0,palbociclib,erlotinib,capmatinib,2.0,,,,
Pleural Mesothelioma,Pleura,36,FGFR1 + FYN + STAT3,FGFR1,FYN,STAT3,0.526,0.74,0.35,80.0%,3.0,erdafitinib,dasatinib,napabucasin,3.0,,,,
Nerve Sheath Tumor,Peripheral Nervous System,9,FGFR1 + FYN + STAT3,FGFR1,FYN,STAT3,0.548,0.74,0.35,72.0%,3.0,erdafitinib,dasatinib,napabucasin,3.0,,,,
Clear Cell Sarcoma,Soft Tissue,2,CDK4 + EGFR + FGFR1,CDK4,EGFR,FGFR1,0.404,0.72,0.46,78.9%,3.0,palbociclib,erlotinib,erdafitinib,2.0,,,,
Hodgkin Lymphoma,Lymphoid,9,CDK4 + CDK6 + STAT3,CDK4,CDK6,STAT3,0.568,0.64,0.35,84.4%,3.0,palbociclib,palbociclib,napabucasin,2.0,,,,
"Sarcoma, NOS",Soft Tissue,1,CDK4 + CDK6 + STAT3,CDK4,CDK6,STAT3,0.563,0.64,0.35,86.8%,3.0,palbociclib,palbociclib,napabucasin,2.0,,,,
Retinoblastoma,Eye,2,BCL2L1 + CDK6 + ERBB2,BCL2L1,CDK6,ERBB2,0.624,0.6,0.0,58.3%,3.0,navitoclax,palbociclib,trastuzumab,3.0,,,,
Extra Gonadal Germ Cell Tumor,Other,2,CDK2 + MAP2K1 + STAT3,CDK2,MAP2K1,STAT3,0.55,0.6,0.35,74.1%,3.0,dinaciclib,trametinib,napabucasin,3.0,,,,
Mixed Cervical Carcinoma,Cervix,1,ERBB2 + MAP2K1 + MAP2K2,ERBB2,MAP2K1,MAP2K2,0.555,0.4,0.0,100.0%,3.0,trastuzumab,trametinib,trametinib,2.0,,,,
Esophagogastric Adenocarcinoma,,74,CDK6 + EGFR + PIK3CA,CDK6,EGFR,PIK3CA,,,,,,palbociclib,erlotinib,alpelisib,,0.94,0.32,50.8%,3/3
Non-Small Cell Lung Cancer,,165,BRAF + EGFR + KRAS,BRAF,EGFR,KRAS,,,,,,vemurafenib,erlotinib,sotorasib,,0.94,0.33,50.0%,3/3
