condition,any_overlap,pair_overlap,exact,superset,precision,any_overlap_testable,pair_overlap_testable,n_predictions,elapsed_s
full_pipeline,0.46511627906976744,0.32558139534883723,0.06976744186046512,0.09302325581395349,0.47058823529411764,0.72,0.48,17,846.9
no_omnipath,0.06976744186046512,0.0,0.0,0.0,1.0,0.12,0.0,2,756.4
no_perturbation,0.23255813953488372,0.11627906976744186,0.0,0.023255813953488372,0.29411764705882354,0.24,0.12,17,899.1
no_coessentiality,0.3023255813953488,0.09302325581395349,0.0,0.0,0.4117647058823529,0.48,0.16,17,444.0
no_statistical,0.4883720930232558,0.32558139534883723,0.06976744186046512,0.09302325581395349,0.47058823529411764,0.72,0.48,17,779.6
no_hub_penalty,0.3023255813953488,0.20930232558139536,0.023255813953488372,0.046511627906976744,0.47058823529411764,0.44,0.28,17,1040.9
